id,date,label
1,2012-07-26,Draghi 'whatever it takes'
2,2015-01-22,ECB QE announced
3,2016-06-23,Brexit referendum
4,2016-09-21,BoJ YCC introduced
5,2018-05-29,Italy BTP crisis
6,2019-09-12,ECB restarts QE
7,2020-03-18,ECB PEPP
8,2022-02-24,Ukraine invasion
9,2022-03-16,Fed hiking begins
10,2022-07-21,ECB lift-off + TPI
11,2022-09-23,UK mini-budget
12,2022-12-20,BoJ widens YCC
13,2024-03-19,BoJ ends NIRP/YCC
14,2024-06-06,ECB cutting cycle
