Date,external_to_EA,within_EA,US_to_EA,JP_to_EA,UK_to_EA
1995-10-10,8.546581833484751,10.0231221331153,9.028795758255725,1.4007140300293472,15.21023571216918
1995-10-17,8.750947538366665,10.42200540383205,8.928930281751393,1.5801883507915426,15.743723982557064
1995-10-24,8.814302418708449,10.31936363577132,8.882890841094365,1.36605590576181,16.193960509269168
1995-10-31,8.940696321183735,10.11976767935971,9.339710951929813,1.4280781235196187,16.054299888101777
1995-11-07,8.923992259831858,10.093738058576468,9.560308511180967,1.3744300747887879,15.837238193525817
1995-11-14,9.255104827608209,10.014178101496785,10.137314666377087,1.3587668416185987,16.269232974828945
1995-11-21,9.312298941002252,9.955208253781304,9.855464297900111,1.3119971079495851,16.769435417157062
1995-11-28,9.41366043208752,10.312595168374678,9.867649988901224,1.0445374858870053,17.328793821474328
1995-12-05,9.562747089414868,10.052079198782126,9.874049420209289,1.0151073419645518,17.799084506070766
1995-12-12,9.327561591714293,9.755547082479193,9.557043050093172,1.1117135625858265,17.31392816246388
1995-12-19,9.550054635374671,9.578427892918151,9.954931895514644,1.280426608871215,17.414805401738157
1995-12-26,9.490437677969533,9.75269176872133,10.057451809350185,1.2238408622428942,17.190020362315522
1996-01-02,9.253390968414454,10.258272593767412,10.118928566663307,0.764027322014515,16.877217016565538
1996-01-09,9.128674363479426,10.241344804661798,9.84262272558591,0.9178180621366777,16.62558230271569
1996-01-16,9.280528307001115,10.185478791454836,9.894862767134427,0.8318523397410256,17.114869814127896
1996-01-23,9.436780047822003,10.051234171223024,10.350312628783394,0.7520353104872652,17.207992204195353
1996-01-30,9.43364811031501,10.576358426330936,9.842565095155718,0.6628619930268388,17.79551724276248
1996-02-06,9.670806562787005,10.656799186315133,9.320683526623384,0.6548920404896053,19.036844121248034
1996-02-13,9.604324125091706,10.580740403198748,9.245692872479708,0.6406578394038588,18.926621663391554
1996-02-20,9.532808900490634,11.14927713477661,8.931974969750298,0.5185148968714721,19.147936834850128
1996-02-27,9.614481287310115,11.356448082401883,9.309795077378915,0.5836346263480942,18.950014158203338
1996-03-05,9.508864067447506,10.961273373275576,9.054795758870183,0.7606814423063727,18.711115001165965
1996-03-12,9.650267497026917,10.759294173126458,9.590951677628142,0.7589247777818858,18.600926035670717
1996-03-19,9.381009121359433,10.806996770178571,9.47841161062543,0.6440322081140303,18.020583545338845
1996-03-26,9.180982695446607,10.696688395164832,9.172658376204279,0.7477520055583978,17.622537704577148
1996-04-02,9.428945493138917,10.518360121289222,9.757951520342763,0.8728552084481307,17.65602975062585
1996-04-09,9.542335501060037,10.108029766606377,9.796814655548484,0.8077763921395071,18.022415455492123
1996-04-16,9.667438329793926,10.091559485265824,10.105759408864568,0.725758503659647,18.17079707685756
1996-04-23,9.89914479394737,10.212077605315708,10.358903066579883,0.7945853053935478,18.54394600986868
1996-04-30,9.858317189752428,10.074471920725603,10.313442199072382,0.8345055817201283,18.42700378846477
1996-05-07,9.898219682872872,9.867691443792934,10.33031296304541,0.9823286876875532,18.382017397885658
1996-05-14,9.749092448469684,9.891414432518635,10.546225906309154,1.092245847998193,17.608805591101707
1996-05-21,9.766711810269738,9.870548790872308,10.37633129262642,1.0573653220913426,17.866438816091446
1996-05-28,9.884277624177004,9.675540423811254,10.822127987237316,1.0503339493825676,17.78037093591113
1996-06-04,10.161538018950166,9.56845541205173,11.58796656838771,0.9010398806110594,17.99560760785173
1996-06-11,10.470894835861532,9.545147739799258,11.969563785912257,0.8868818793313072,18.55623884234103
1996-06-18,10.2542932980469,9.785983178670758,11.498266233947245,0.8360381323092172,18.428575527884238
1996-06-25,10.26827879922134,9.417225103095825,11.467669661213922,1.0385738782406606,18.29859285820944
1996-07-02,10.08750152521746,9.413950357815379,11.223164575245137,1.0412791165864845,17.99806088382076
1996-07-09,10.425147850485386,9.284379123550364,12.471898622285728,0.9081209521358988,17.895423977034532
1996-07-16,10.50037292607183,9.177149061067714,12.49022836196221,0.9372945668791489,18.073595849374133
1996-07-23,10.590408807187773,9.393404359607695,12.861729721605405,0.9447469494393248,17.96474975051859
1996-07-30,10.530342650486984,9.57890189703426,12.360618154040557,1.032758470549346,18.197651326871046
1996-08-06,10.493704372469177,9.568165855204803,12.319693876159178,0.9747442891865286,18.18667495206183
1996-08-13,10.408041799591533,9.54280625965921,11.938146310294963,1.084852914503108,18.201126173976533
1996-08-20,10.471893077896517,9.475769096309344,11.935284674016847,1.2296246484973503,18.25076991117535
1996-08-27,10.531040561016324,9.211823629801023,12.079680624907704,1.5526375679183404,17.96080349022293
1996-09-03,10.426245414040148,9.499160676167445,12.016967210803,1.4763444193083388,17.78542461200911
1996-09-10,10.413650266448778,9.63054928079307,12.016984214295453,1.4434772021433102,17.780489382907568
1996-09-17,10.607396963954146,9.634082162913911,12.428546412219363,1.5125189365268334,17.881125543116244
1996-09-24,10.35273553196297,9.640325380847692,12.172368998067299,1.1795399154857171,17.706297682335894
1996-10-01,10.644058313876362,9.685907351991093,12.350031525934268,1.340563918393761,18.241579497301053
1996-10-08,10.811099528587016,9.628108587098763,12.6397706891679,1.331830649533221,18.461697247059927
1996-10-15,10.14123335304887,10.060007154035148,11.553499807470402,1.1301808799079227,17.740019371768284
1996-10-22,9.826830386314164,10.425515256327014,10.945951752384651,0.9721238707576447,17.562415535800195
1996-10-29,9.811291656652724,10.219259854899416,11.177924524764656,1.0969127719568763,17.15903767323664
1996-11-05,9.880698145589436,9.749945484080987,11.789935792922531,1.3981582256100666,16.45400041823571
