Date,core_to_periphery,periphery_to_core,periphery_net
1995-10-10,10.389278068393178,3.3973062723949963,-6.991971795998182
1995-10-17,10.802365655872752,4.851476352971197,-5.950889302901555
1995-10-24,10.497818071001706,4.697142390852984,-5.800675680148722
1995-10-31,10.888839371648986,4.570562004731197,-6.31827736691779
1995-11-07,10.92047924565064,4.5203774671315795,-6.40010177851906
1995-11-14,11.141737213643195,4.281043807680466,-6.860693405962729
1995-11-21,11.221572612113253,4.232074909116759,-6.989497702996494
1995-11-28,11.924707530730997,5.131065813648021,-6.793641717082975
1995-12-05,11.700513340360253,5.015543855575588,-6.684969484784665
1995-12-12,11.32151178687626,5.4599326627951905,-5.861579124081069
1995-12-19,11.748581801249987,5.419470198549134,-6.329111602700853
1995-12-26,11.701603817082354,5.477680813289046,-6.223923003793308
1996-01-02,11.850601281212064,6.433006202334473,-5.417595078877591
1996-01-09,11.645438971415757,6.569092108990847,-5.07634686242491
1996-01-16,11.43290314086571,6.486580754552914,-4.946322386312795
1996-01-23,11.431323089631963,6.230772231433273,-5.20055085819869
1996-01-30,11.925885240382462,7.228639133676744,-4.697246106705718
1996-02-06,12.481041216017243,6.831141019516911,-5.649900196500331
1996-02-13,12.743460545260575,7.131915957551196,-5.611544587709379
1996-02-20,13.551909543462129,7.871824577624874,-5.6800849658372545
1996-02-27,13.922606056073203,7.6171426422777575,-6.3054634137954455
1996-03-05,13.115835157981419,6.923750753732521,-6.192084404248898
1996-03-12,13.022011853174494,6.736571230264775,-6.285440622909719
1996-03-19,12.827267937303144,6.698784830181639,-6.128483107121506
1996-03-26,12.49273834538673,6.8870763718554,-5.60566197353133
1996-04-02,12.441940045381775,6.746698746988517,-5.695241298393259
1996-04-09,12.689476851488276,5.727329605301389,-6.962147246186888
1996-04-16,12.7100822021599,5.613142483956725,-7.096939718203174
1996-04-23,13.01613131687392,5.752363864606614,-7.263767452267307
1996-04-30,12.714206334813417,5.722071821751863,-6.992134513061554
1996-05-07,12.496946301503108,5.6406637011617455,-6.856282600341363
1996-05-14,12.324337241730127,5.709864474032127,-6.614472767698
1996-05-21,12.296304536739768,5.875509625430318,-6.42079491130945
1996-05-28,12.060842844923243,5.7086789457929115,-6.352163899130332
1996-06-04,11.798311279945132,5.744130928825225,-6.054180351119907
1996-06-11,12.032168827506627,5.534295593753445,-6.497873233753182
1996-06-18,12.277997171557267,5.508504099236566,-6.769493072320701
1996-06-25,11.864399308164254,5.13284742460421,-6.731551883560043
1996-07-02,11.782179049618126,5.168634517940608,-6.613544531677518
1996-07-09,11.703325015940932,4.967966221698358,-6.735358794242574
1996-07-16,11.393726837797807,4.678658292248418,-6.715068545549389
1996-07-23,11.921409408755704,5.01965169463945,-6.901757714116254
1996-07-30,11.688269883632994,5.290312708268597,-6.397957175364398
1996-08-06,11.76059774915199,5.17034987856735,-6.590247870584641
1996-08-13,11.620979555574639,5.167577799981424,-6.453401755593215
1996-08-20,11.725509213306196,5.044321861301271,-6.681187352004925
1996-08-27,11.152685187954983,4.91851874358082,-6.234166444374163
1996-09-03,11.312845625270795,4.968777037907037,-6.344068587363758
1996-09-10,11.045869032271261,4.893149778292313,-6.152719253978948
1996-09-17,11.0324162719644,5.078992610469097,-5.953423661495304
1996-09-24,10.946166364004238,5.105118309445313,-5.841048054558925
1996-10-01,10.989743910856458,4.970604953792346,-6.019138957064111
1996-10-08,10.832610359484502,4.822311193598001,-6.010299165886501
1996-10-15,11.418287166705449,5.397416457513666,-6.020870709191783
1996-10-22,11.74172160761112,5.423130998263959,-6.3185906093471615
1996-10-29,11.780045397168381,5.219152062906177,-6.560893334262204
1996-11-05,10.785183513259168,5.1294938590097745,-5.655689654249394
1996-11-12,10.825380606274873,5.485542013288991,-5.339838592985882
1996-11-19,8.940750480422349,4.534546631529896,-4.406203848892453
1996-11-26,8.133423424669651,4.858975152431154,-3.274448272238497
1996-12-03,10.536345215179166,6.040356158505903,-4.495989056673263
1996-12-10,11.5276052254263,5.565845106388835,-5.961760119037464
1996-12-17,12.29309215396776,6.054625156439247,-6.238466997528512
1996-12-24,12.415061500054398,5.150439738025168,-7.26462176202923
1996-12-31,11.838271192103933,5.5147488998002165,-6.323522292303717
1997-01-07,11.487916737406426,5.255125132532968,-6.232791604873458
1997-01-14,12.549360965347978,4.881217363842194,-7.668143601505784
1997-01-21,11.511466908706353,4.6734619000307855,-6.838005008675568
1997-01-28,12.080454149083558,4.8333982018296835,-7.247055947253874
1997-02-04,12.219172364602883,5.104395141206094,-7.114777223396789
1997-02-11,11.98874699909151,5.289149148599079,-6.699597850492432
1997-02-18,11.932122869488303,4.874901622796562,-7.057221246691741
1997-02-25,12.055479318186418,4.735714591221797,-7.319764726964621
1997-03-04,11.107230267810948,4.245250214590951,-6.861980053219997
1997-03-11,10.884025331992646,3.9413572893709907,-6.942668042621655
1997-03-18,11.566797108274383,4.064024984540433,-7.5027721237339495
1997-03-25,11.58799827179631,3.5012040536592086,-8.086794218137102
1997-04-01,11.668223992514495,3.1163545008054987,-8.551869491708995
1997-04-08,11.542913303923438,3.7745145510045712,-7.768398752918866
1997-04-15,12.195054484206125,3.744519709403189,-8.450534774802936
1997-04-22,12.322257512967235,4.302086475986409,-8.020171036980827
1997-04-29,12.467132897099425,4.266075148887901,-8.201057748211525
1997-05-06,12.226254515416514,4.535532482298314,-7.6907220331182
1997-05-13,12.410332177345094,4.72225101851767,-7.688081158827424
1997-05-20,12.09440517752714,4.527507992681869,-7.566897184845271
1997-05-27,12.482545600983407,4.6281995591886025,-7.854346041794805
