Date,US_sm63,UK_sm63,JP_sm63,DE_sm63,IT_sm63
1995-01-03,7.702109375,8.696415625,4.67203125,7.51875,12.327578125
1995-01-04,7.692954545454546,8.695533333333334,4.66909090909091,7.5148484848484856,12.327651515151516
1995-01-05,7.685220588235294,8.695102941176472,4.666176470588235,7.5114705882352935,12.329485294117646
1995-01-06,7.678142857142857,8.695794285714285,4.663285714285714,7.508285714285715,12.329214285714285
1995-01-09,7.671527777777778,8.697858333333334,4.659583333333334,7.506388888888889,12.332013888888888
1995-01-10,7.662567567567567,8.69831891891892,4.655540540540541,7.504324324324325,12.339797297297297
1995-01-11,7.654078947368421,8.696534210526316,4.649342105263158,7.5005263157894735,12.345065789473685
1995-01-12,7.645769230769231,8.696271794871794,4.644230769230769,7.498461538461538,12.352371794871795
1995-01-13,7.635625,8.6965125,4.636125,7.4935,12.3703125
1995-01-16,7.625487804878048,8.696260975609755,4.63,7.490487804878049,12.384939024390244
1995-01-17,7.616071428571429,8.694488095238095,4.622619047619048,7.485714285714285,12.397440476190477
1995-01-18,7.6087209302325585,8.69246511627907,4.615232558139535,7.4832558139534875,12.410523255813954
1995-01-19,7.603068181818182,8.6907,4.606931818181819,7.481136363636364,12.427556818181818
1995-01-20,7.598777777777777,8.691155555555556,4.598,7.478,12.450055555555554
1995-01-23,7.595326086956521,8.694841304347825,4.586630434782609,7.477391304347826,12.473315217391304
1995-01-24,7.59031914893617,8.696931914893618,4.5768085106382985,7.475531914893618,12.500478723404257
1995-01-25,7.584270833333334,8.698566666666666,4.5685416666666665,7.474374999999999,12.521510416666667
1995-01-26,7.57704081632653,8.69883469387755,4.559489795918367,7.471836734693878,12.541479591836735
1995-01-27,7.569300000000001,8.699356,4.5493,7.469600000000001,12.56065
1995-01-30,7.559901960784313,8.69706862745098,4.540490196078431,7.465490196078432,12.578676470588237
1995-01-31,7.550865384615384,8.69458076923077,4.531442307692307,7.461538461538462,12.597932692307692
1995-02-01,7.541415094339622,8.690022641509433,4.521132075471698,7.45566037735849,12.615518867924527
1995-02-02,7.533611111111111,8.687244444444444,4.509814814814815,7.45,12.634675925925926
1995-02-03,7.526090909090909,8.683918181818182,4.499818181818182,7.444181818181819,12.6535
1995-02-06,7.519553571428572,8.680094642857144,4.490178571428571,7.438571428571429,12.669151785714286
1995-02-07,7.514122807017544,8.676556140350877,4.479561403508772,7.433859649122807,12.683026315789474
1995-02-08,7.5088793103448275,8.673596551724138,4.46801724137931,7.42948275862069,12.699698275862069
1995-02-09,7.50177966101695,8.670098305084746,4.45728813559322,7.424745762711864,12.713771186440677
1995-02-10,7.49425,8.667278333333334,4.4478333333333335,7.420333333333334,12.725375000000001
1995-02-13,7.488770491803279,8.665091803278688,4.435737704918033,7.416065573770492,12.735122950819672
1995-02-14,7.483467741935484,8.663898387096774,4.4232258064516135,7.4114516129032255,12.746975806451612
1995-02-15,7.478650793650794,8.661247619047618,4.411190476190477,7.407301587301587,12.75654761904762
1995-02-16,7.467857142857143,8.657004761904762,4.395158730158731,7.395714285714286,12.772738095238095
1995-02-17,7.457063492063492,8.652633333333332,4.374365079365079,7.386349206349207,12.791944444444443
1995-02-20,7.445,8.647473015873016,4.3539682539682545,7.374761904761905,12.808452380952382
1995-02-21,7.433095238095238,8.643031746031745,4.3346825396825395,7.364126984126984,12.824126984126984
1995-02-22,7.420396825396826,8.637946031746033,4.3146031746031746,7.353015873015873,12.837460317460318
1995-02-23,7.4088095238095235,8.63245238095238,4.294761904761905,7.344603174603174,12.847142857142858
1995-02-24,7.398174603174603,8.62802857142857,4.2769047619047615,7.336507936507937,12.859365079365078
1995-02-27,7.386904761904762,8.623879365079365,4.26,7.32968253968254,12.871269841269841
1995-02-28,7.376904761904762,8.61875873015873,4.243888888888889,7.323015873015874,12.885238095238098
1995-03-01,7.366309523809524,8.613569841269841,4.2250000000000005,7.315714285714286,12.902539682539683
1995-03-02,7.355714285714285,8.608496825396825,4.202142857142857,7.307460317460317,12.920317460317461
1995-03-03,7.345079365079365,8.602134920634922,4.179126984126984,7.299880952380952,12.937301587301587
1995-03-06,7.333968253968254,8.596700000000002,4.15531746031746,7.292261904761905,12.956507936507936
1995-03-07,7.321904761904762,8.592860317460318,4.133412698412698,7.2855952380952385,12.975714285714286
1995-03-08,7.30904761904762,8.587203174603173,4.110952380952381,7.27734126984127,12.996825396825399
1995-03-09,7.295555555555556,8.581044444444442,4.0905555555555555,7.269563492063492,13.016349206349208
1995-03-10,7.283015873015873,8.574914285714286,4.069285714285715,7.261785714285715,13.034444444444444
1995-03-13,7.271111111111111,8.570801587301588,4.048253968253968,7.255912698412699,13.052777777777779
1995-03-14,7.260793650793651,8.566977777777778,4.027142857142857,7.249880952380953,13.070555555555554
1995-03-15,7.251111111111111,8.563795238095238,4.006904761904762,7.243690476190476,13.086269841269843
1995-03-16,7.242698412698412,8.561626984126985,3.986904761904762,7.2370238095238095,13.099444444444444
1995-03-17,7.233650793650794,8.55977619047619,3.9673809523809522,7.231031746031746,13.110793650793651
1995-03-20,7.223492063492063,8.557625396825397,3.946587301587302,7.224682539682539,13.121428571428572
1995-03-21,7.215079365079365,8.554098412698414,3.926111111111111,7.2184920634920635,13.131587301587302
1995-03-22,7.204285714285715,8.54982380952381,3.905873015873016,7.211190476190477,13.1415873015873
1995-03-23,7.191111111111111,8.546653968253967,3.8862698412698413,7.203571428571429,13.14857142857143
1995-03-24,7.177936507936509,8.54351746031746,3.8653968253968256,7.195793650793651,13.154126984126982
