Date,IT_DE_spread_bp_sm63,ES_DE_spread_bp_sm63,FR_DE_spread_bp_sm63
1995-01-03,480.8828125,424.48984375000003,63.156249999999986
1995-01-04,481.280303030303,423.92045454545456,63.09090909090908
1995-01-05,481.8014705882353,423.8316176470588,62.941176470588225
1995-01-06,482.09285714285716,423.69642857142856,62.85714285714285
1995-01-09,482.5625,423.52708333333334,62.8611111111111
1995-01-10,483.5472972972973,423.52364864864865,62.918918918918905
1995-01-11,484.45394736842104,423.633552631579,62.89473684210525
1995-01-12,485.39102564102564,423.3916666666667,62.84615384615383
1995-01-13,487.68125,423.809375,62.874999999999986
1995-01-16,489.4451219512195,424.1676829268293,62.90243902439023
1995-01-17,491.17261904761904,424.73035714285714,63.02380952380951
1995-01-18,492.7267441860465,425.0203488372093,63.11627906976743
1995-01-19,494.64204545454544,425.57670454545456,63.27272727272726
1995-01-20,497.2055555555556,426.25944444444445,63.66666666666666
1995-01-23,499.5923913043478,427.2168478260869,64.26086956521738
1995-01-24,502.49468085106383,428.756914893617,64.70212765957446
1995-01-25,504.7135416666667,430.2994791666667,65.10416666666666
1995-01-26,506.9642857142857,431.90153061224487,65.57142857142857
1995-01-27,509.105,433.30550000000005,65.96
1995-01-30,511.3186274509804,434.64656862745096,66.19607843137256
1995-01-31,513.6394230769231,435.8629807692308,66.4423076923077
1995-02-01,515.9858490566038,437.2542452830189,66.71698113207547
1995-02-02,518.4675925925926,438.74583333333334,67.09259259259258
1995-02-03,520.9318181818181,440.2427272727272,67.41818181818182
1995-02-06,523.0580357142857,441.69375,67.57142857142857
1995-02-07,524.9166666666666,443.1587719298245,67.75438596491227
1995-02-08,527.0215517241379,444.54051724137935,67.87931034482759
1995-02-09,528.9025423728814,446.0042372881356,67.94915254237289
1995-02-10,530.5041666666667,447.2825,68.05
1995-02-13,531.905737704918,448.42540983606557,68.19672131147541
1995-02-14,533.5524193548387,449.7540322580645,68.38709677419355
1995-02-15,534.9246031746031,451.0595238095238,68.31746031746032
1995-02-16,537.702380952381,453.02777777777777,68.76190476190476
1995-02-17,540.5595238095239,454.8944444444445,68.85714285714286
1995-02-20,543.3690476190476,456.7579365079365,69.03174603174604
1995-02-21,546.0,458.37103174603175,69.2063492063492
1995-02-22,548.4444444444445,459.95039682539687,69.42857142857143
1995-02-23,550.2539682539683,460.65198412698413,69.42857142857143
1995-02-24,552.2857142857143,461.04880952380955,69.42857142857143
1995-02-27,554.1587301587301,461.66785714285714,69.39682539682538
1995-02-28,556.2222222222222,462.2440476190476,69.46031746031744
1995-03-01,558.6825396825396,463.1970634920635,69.5238095238095
1995-03-02,561.2857142857143,464.2030952380953,69.66984126984127
1995-03-03,563.7420634920635,465.23087301587304,69.91666666666666
1995-03-06,566.4246031746031,466.383253968254,70.12301587301586
1995-03-07,569.0119047619048,467.64198412698414,70.3611111111111
1995-03-08,571.9484126984127,469.0499206349206,70.63095238095237
1995-03-09,574.6785714285714,470.2261111111111,70.80555555555554
1995-03-10,577.265873015873,471.3705555555556,71.01190476190474
1995-03-13,579.686507936508,472.30547619047616,71.17063492063491
1995-03-14,582.0674603174604,473.45150793650794,71.28174603174601
1995-03-15,584.2579365079365,474.6102380952381,71.40873015873015
1995-03-16,586.2420634920635,475.8229365079365,71.58333333333331
1995-03-17,587.9761904761905,476.87325396825395,71.88492063492062
1995-03-20,589.6746031746031,477.93611111111113,72.13888888888887
1995-03-21,591.3095238095239,479.0011904761905,72.28174603174601
1995-03-22,593.0396825396825,480.07896825396824,72.53571428571428
1995-03-23,594.5,481.2964285714286,72.83730158730157
1995-03-24,595.8333333333334,482.37420634920636,72.99999999999999
1995-03-27,597.1825396825396,483.2757936507937,73.14285714285712
1995-03-28,597.8650793650794,483.9265873015873,73.17460317460316
1995-03-29,598.1984126984127,484.08214285714286,73.15873015873015
1995-03-30,598.6904761904761,484.3599206349206,73.14285714285712
1995-03-31,598.8492063492064,484.64365079365086,73.20634920634919
1995-04-03,599.1666666666666,485.11507936507934,73.17460317460316
1995-04-04,599.5793650793651,485.4452380952381,73.26984126984125
1995-04-05,600.1666666666666,485.95793650793655,73.30158730158729
1995-04-06,600.6111111111111,486.5246031746032,73.3174603174603
1995-04-07,600.8015873015873,487.2277777777778,73.25396825396824
1995-04-10,601.1825396825396,487.71507936507936,73.30158730158729
1995-04-11,601.6111111111111,488.3277777777777,73.42857142857142
1995-04-12,600.9761904761905,488.4150793650794,73.55555555555554
1995-04-13,601.0873015873016,488.56904761904764,73.74603174603173
1995-04-14,601.3095238095239,488.9198412698413,73.93650793650792
1995-04-17,601.515873015873,489.6007936507936,74.17460317460316
1995-04-18,601.1984126984127,490.19444444444446,74.4126984126984
1995-04-19,600.3888888888889,490.7055555555556,74.36507936507937
1995-04-20,599.531746031746,490.9087301587302,74.07936507936506
1995-04-21,598.2777777777778,490.66269841269843,74.03174603174601
1995-04-24,597.2619047619048,490.0722222222222,73.87301587301586
1995-04-25,596.3571428571429,489.3753968253969,73.76190476190474
1995-04-26,595.531746031746,488.87857142857143,73.66666666666666
1995-04-27,594.6746031746031,488.5103174603175,73.82539682539681
1995-04-28,593.8492063492064,488.2579365079365,73.85714285714285
1995-05-01,592.7222222222222,487.9674603174603,73.6031746031746
1995-05-02,591.563492063492,487.4134920634921,73.5238095238095
1995-05-03,590.2142857142857,486.72182539682535,73.3015873015873
1995-05-04,589.2619047619048,486.22976190476186,73.25396825396825
1995-05-05,588.6269841269841,485.83293650793655,73.1111111111111
1995-05-08,587.5952380952381,485.25039682539676,73.09523809523809
