Date,IT_DE_z,EA_disp_z
2014-01-01,1.1305929232904226,1.8572391598196871
2014-01-02,1.1139324255757226,1.8182779177670663
2014-01-03,1.0992319864156939,1.779883584369081
2014-01-06,1.0806114301463239,1.7388598049941988
2014-01-07,1.0600308153222833,1.6942519114731454
2014-01-08,1.038225163901573,1.6514869234583351
2014-01-09,1.0269548272122175,1.6206533279738826
2014-01-10,1.0271998345315514,1.605398591948071
2014-01-13,1.022299688144875,1.586572815034088
2014-01-14,1.0242597466995456,1.5689247409605362
2014-01-15,1.0311199516408915,1.5613921601583896
2014-01-16,1.0271998345315514,1.5489233771850943
2014-01-17,1.0350400687502335,1.5479849391312202
2014-01-20,1.0517005664649328,1.5611251045689534
2014-01-21,1.0624808885156207,1.569331965497298
2014-01-22,1.0771813276756501,1.5823843460110358
2014-01-23,1.0840415326169972,1.5861358871201872
2014-01-24,1.0899217082810086,1.59203365814092
2014-01-27,1.0840415326169972,1.5804263804829217
2014-01-28,1.076201298398315,1.5633683025590552
2014-01-29,1.0732612105663093,1.5488964425756608
2014-01-30,1.0742412398436443,1.5540287792546876
2014-01-31,1.0693410934569678,1.5481963675101997
2014-02-03,1.0566007128516093,1.5342570445917338
2014-02-04,1.0379801565822393,1.5159102744135609
2014-02-05,1.022299688144875,1.4984622433759809
2014-02-06,1.0124993953715222,1.4913868033154227
2014-02-07,0.9899587219928107,1.4689341615782352
2014-02-10,0.9595778143954171,1.430872375022316
2014-02-11,0.9321369946300299,1.3973482649027535
2014-02-12,0.9076362626966478,1.3752512002191561
2014-02-13,0.8772553550992542,1.3489955605488377
2014-02-14,0.8517745938885376,1.3199025589816082
2014-02-17,0.8311939790644969,1.2970742462733424
2014-02-18,0.7988530129124326,1.260877396947737
2014-02-19,0.7625919296510276,1.2175800635206242
2014-02-20,0.7302509634989633,1.17360423486139
2014-02-21,0.7008500851789053,1.1393148413604135
2014-02-24,0.6724292361361826,1.10618842083847
2014-02-25,0.6479285042028003,1.0781355164594417
2014-02-26,0.631268006488101,1.057331001305234
2014-02-27,0.6175475966054074,1.042416021298908
2014-02-28,0.5989270403360367,1.017157977225809
2014-03-03,0.5793264547893316,0.9952531271441419
2014-03-04,0.5656060449066375,0.9831841351363676
2014-03-05,0.5577658106879553,0.9709156131374785
2014-03-06,0.5430653715279267,0.9568392609753359
2014-03-07,0.524444815258556,0.9378030912058317
2014-03-10,0.5156245517625387,0.929849850269188
2014-03-11,0.5038642004345153,0.9193684477408793
2014-03-12,0.4872037027198159,0.9020537118526707
2014-03-13,0.4725032635597866,0.8807186990064014
2014-03-14,0.4568227951224223,0.85170660018748
2014-03-17,0.44408241451706376,0.8341466999394996
2014-03-18,0.4254618582476937,0.8054798108102389
2014-03-19,0.41272147764233513,0.7841476920437069
2014-03-20,0.39998109703697654,0.773565769905602
2014-03-21,0.38234057004494154,0.7620698248783476
2014-03-24,0.37156024799425363,0.752554988535123
2014-03-25,0.3637200137755715,0.7440134662369785
2014-03-26,0.3499996038928779,0.7324347196860981
2014-03-27,0.33137904762350723,0.7174525489885897
2014-03-28,0.31373852063147223,0.6995922300584002
2014-03-31,0.29217787653009647,0.678802671297844
2014-04-01,0.2755173788153971,0.6656637503865116
2014-04-02,0.2578768518233621,0.6448106518725458
2014-04-03,0.2402363248313271,0.625575610941791
2014-04-04,0.22239979198382498,0.6033911343317179
2014-04-07,0.2010351537379163,0.5793700776618881
2014-04-08,0.17261430469519343,0.5478322257153085
2014-04-09,0.14713354348447627,0.5198616539034748
2014-04-10,0.13047304576977634,0.4988993473614981
2014-04-11,0.11675263588708269,0.48073402115222036
2014-04-14,0.10597231383639481,0.47083186691420453
2014-04-15,0.09715205034037702,0.461251225745024
2014-04-16,0.08637172828968913,0.45137070759687975
2014-04-17,0.07853149407100697,0.4438563133736913
2014-04-18,0.07559140623900124,0.4354219576788386
2014-04-21,0.0726513184069955,0.4253929226957334
2014-04-22,0.06285102563364266,0.41299654977451156
2014-04-23,0.05109067430561913,0.3993617857702261
2014-04-24,0.0373702644229255,0.38726207493593934
2014-04-25,0.022669825262896237,0.36793221437655377
2014-04-28,0.0020892104388555047,0.34637584060645393
2014-04-29,-0.009671140889167438,0.3336864985881375
2014-04-30,-0.019471433662520278,0.3207946080361548
2014-05-01,-0.001830906670485281,0.3366898681258632
2014-05-02,0.010909473934873296,0.3545190345320689
2014-05-05,0.03070606533704552,0.37721177444081333
2014-05-06,0.06677114274298344,0.41028775600161954
2014-05-07,0.09519199178570634,0.4395209621013343
2014-05-08,0.12067275299642348,0.4650577777072164
2014-05-09,0.13341313360178206,0.47970221422808607
2014-05-12,0.12753295793777059,0.4768256819946092
2014-05-13,0.12459287010576485,0.4749041775547002
2014-05-14,0.12165278227375911,0.4721755202431989
2014-05-15,0.12165278227375911,0.47164858380074637
2014-05-16,0.12067275299642348,0.47266295062031793
2014-05-19,0.12067275299642348,0.4697160872649023
2014-05-20,0.12067275299642348,0.46896921192551083
2014-05-21,0.12459287010576485,0.47017365111105663
2014-05-22,0.12165278227375911,0.47059025310999886
2014-05-23,0.11479257733241201,0.4605989904890728
2014-05-26,0.10009213817238274,0.44314870667231193
2014-05-27,0.08931181612169486,0.42373382933342857
2014-05-28,0.07559140623900124,0.40370068366647566
2014-05-29,0.0657911134656484,0.3873831902490222
2014-05-30,0.028550000926908296,0.3485892728133878
2014-06-02,-0.001830906670485281,0.31100297944542615
2014-06-03,-0.03907201920922596,0.2698591722236022
2014-06-04,-0.08415336596664821,0.22499541369816847
