Date,DE_sm21,IT_sm21,US_sm21,UK_sm21,JP_sm21
2014-01-01,1.8945238095238097,4.025714285714286,2.9592857142857145,2.999454761904762,0.7008673469387755
2014-01-02,1.8916666666666668,4.0147619047619045,2.9578571428571427,2.9960119047619047,0.7018197278911564
2014-01-03,1.8864285714285716,4.002380952380952,2.953095238095238,2.991492857142857,0.7018197278911564
2014-01-06,1.8802380952380953,3.9871428571428575,2.951071428571429,2.9873309523809524,0.7003911564625851
2014-01-07,1.8735714285714284,3.97047619047619,2.9467857142857143,2.9823833333333334,0.7007482993197278
2014-01-08,1.8675000000000002,3.953809523809524,2.9410714285714286,2.9782690476190474,0.7007482993197278
2014-01-09,1.8572619047619046,3.9380952380952383,2.9313095238095235,2.969938888888889,0.6993197278911565
2014-01-10,1.844285714285714,3.925238095238095,2.9194047619047616,2.958354761904762,0.6959863945578231
2014-01-13,1.8314285714285714,3.91,2.90797619047619,2.9459119047619047,0.6921768707482994
2014-01-14,1.8190476190476188,3.8985714285714286,2.8975,2.9376738095238095,0.6869387755102041
2014-01-15,1.8047619047619048,3.8876190476190478,2.8808333333333334,2.927230952380952,0.6822448979591836
2014-01-16,1.7942857142857143,3.875238095238095,2.866547619047619,2.9159666666666664,0.6766666666666666
2014-01-17,1.7809523809523813,3.865714285714285,2.850833333333333,2.9030619047619046,0.6716326530612244
2014-01-20,1.7666666666666664,3.8595238095238096,2.831785714285714,2.8899142857142857,0.6661904761904762
2014-01-21,1.7542857142857144,3.8523809523809525,2.815595238095238,2.8782571428571426,0.6604761904761905
2014-01-22,1.7423809523809526,3.8476190476190473,2.803214285714286,2.8667857142857143,0.6561904761904762
2014-01-23,1.7323809523809521,3.840952380952381,2.7898809523809525,2.857066666666667,0.6519047619047619
2014-01-24,1.7204761904761905,3.8319047619047617,2.7775,2.8460809523809525,0.6480952380952382
2014-01-27,1.7123809523809523,3.820952380952381,2.768928571428571,2.8398761904761907,0.6438095238095238
2014-01-28,1.7066666666666666,3.811428571428571,2.764642857142857,2.8360809523809527,0.6409523809523809
2014-01-29,1.7019047619047616,3.805238095238095,2.7608333333333333,2.8360857142857143,0.6385714285714286
2014-01-30,1.6942857142857142,3.7980952380952377,2.752738095238095,2.8331142857142857,0.6352380952380953
2014-01-31,1.6895238095238094,3.79095238095238,2.7475,2.8330190476190475,0.6314285714285715
2014-02-03,1.686190476190476,3.781428571428571,2.7417857142857143,2.830895238095238,0.628095238095238
2014-02-04,1.6828571428571426,3.7690476190476194,2.735238095238095,2.8279714285714284,0.6257142857142858
2014-02-05,1.679047619047619,3.7576190476190474,2.7295238095238097,2.824285714285714,0.621904761904762
2014-02-06,1.6752380952380952,3.7490476190476194,2.724285714285714,2.8219000000000003,0.6176190476190476
2014-02-07,1.673809523809524,3.736666666666667,2.7214285714285715,2.821023809523809,0.6147619047619047
2014-02-10,1.674761904761905,3.7228571428571424,2.7214285714285715,2.8208666666666664,0.6128571428571428
2014-02-11,1.6733333333333333,3.7080952380952374,2.717619047619048,2.8199571428571426,0.6109523809523809
2014-02-12,1.6704761904761904,3.6933333333333334,2.7128571428571426,2.816942857142857,0.6090476190476191
2014-02-13,1.6666666666666667,3.6747619047619047,2.710952380952381,2.8135142857142856,0.6066666666666667
2014-02-14,1.6623809523809523,3.6580952380952385,2.7080952380952383,2.8132619047619047,0.6052380952380952
2014-02-17,1.6576190476190473,3.6433333333333335,2.7047619047619045,2.8117380952380953,0.6028571428571429
2014-02-18,1.655714285714286,3.625714285714286,2.709047619047619,2.8112904761904765,0.600952380952381
2014-02-19,1.6538095238095236,3.606190476190476,2.711904761904762,2.8126714285714285,0.6014285714285714
2014-02-20,1.6542857142857141,3.590952380952381,2.7138095238095237,2.8167999999999997,0.6019047619047618
2014-02-21,1.6523809523809525,3.5747619047619046,2.717142857142857,2.8183285714285713,0.6028571428571429
2014-02-24,1.6509523809523807,3.5595238095238093,2.720952380952381,2.8217285714285714,0.6033333333333333
2014-02-25,1.6490476190476189,3.5457142857142863,2.724285714285714,2.823933333333333,0.6042857142857143
2014-02-26,1.6447619047619046,3.5333333333333337,2.7233333333333336,2.8247999999999998,0.6052380952380952
2014-02-27,1.6361904761904762,3.5180952380952384,2.7166666666666663,2.8197238095238095,0.6066666666666666
2014-02-28,1.6304761904761906,3.503333333333334,2.7128571428571426,2.8136761904761904,0.608095238095238
2014-03-03,1.625238095238095,3.488571428571429,2.7104761904761907,2.809157142857143,0.6095238095238095
2014-03-04,1.6195238095238094,3.4761904761904763,2.7085714285714286,2.804538095238095,0.61
2014-03-05,1.6161904761904762,3.4690476190476187,2.711904761904762,2.8021190476190476,0.61
2014-03-06,1.6157142857142857,3.461428571428572,2.7147619047619047,2.8033809523809525,0.6095238095238095
2014-03-07,1.6128571428571428,3.4495238095238094,2.7142857142857144,2.7993190476190475,0.6101190476190477
2014-03-10,1.6085714285714285,3.440952380952381,2.714761904761905,2.7943285714285713,0.6105952380952381
2014-03-11,1.603333333333333,3.43,2.714761904761905,2.7910333333333335,0.6110714285714286
2014-03-12,1.5995238095238093,3.4180952380952383,2.7152380952380955,2.7873619047619047,0.6129761904761905
2014-03-13,1.5957142857142856,3.407142857142857,2.716190476190476,2.7839571428571426,0.6148809523809524
2014-03-14,1.5952380952380953,3.399047619047619,2.72,2.7845714285714287,0.6167857142857143
2014-03-17,1.5923809523809522,3.3899999999999997,2.7233333333333336,2.783647619047619,0.6191666666666666
2014-03-18,1.5933333333333333,3.3819047619047615,2.7314285714285713,2.7858666666666667,0.6210714285714285
